text,translation
"Hotkey: Building, Glass Window",快捷键：建造，玻璃窗
"Hotkey: Building, Hatch",快捷键：建造，舱口盖
Greetings.  Let's trade.,你好。我们来交易吧。
Greetings.  We are enchanted by,你好。我们为
Gremlin pulled lever,小妖精拉动了拉杆
Gremlin triggered plate,小妖精触发了压力板
Handling job applications,处理求职申请
Harmony      <->      Discord,和谐      <->      失谐
Has a minor affect on all writing (poetry and prose.),对所有作品（诗歌与散文）有轻微影响。
Have they gone on adventures or moved on to richer delving at new frontier settlements?,他们是踏上冒险之旅了，还是前往新的边境定居点进行更丰厚的开掘了？
"Heavy attack: slower to strike and recover, but hits harder",重击：出手和恢复较慢，但伤害更高
"Here you can interact with the objects you are carrying.  Items can be dropped, worn, eaten, thrown, named, etc.  The icon tooltips describe your options for each item.",在这里你可以操作你携带的物品。物品可以丢弃、穿戴、食用、投掷、命名等。每个物品的图标提示会说明你可用的选项。
Here you can see every [C:6:0:1]Item[C:7:0:0] in the fortress.,在这里你可以查看要塞中的每一个[C:6:0:1]物品[C:7:0:0]。
Here you can select which goods you wish to trade.  After everyone has brought their goods you can,在这里你可以选择想要交易的货物。等大家都把货物带来后，你就可以
"Here you can travel great distances without having to move in the local mode.  You still become thirsty, hungry, and drowsy while traveling.",在这里你可以长途旅行，而无需在本地模式中移动。旅行时你仍会感到口渴、饥饿和困倦。
"Here you'll see a list of party members, companions, and pets, along with their general location if you know it.",在这里你可以看到队友、同伴和宠物的列表，以及它们的大致位置（如果你知道的话）。
High savagery (66+) blocks civilization placement -- make sure your parameters and presets offer at least small pockets of low-to-mid savagery areas.,高蛮荒度（66+）会阻碍文明定居——请确保你的参数和预设中至少留有小片低至中等蛮荒度的区域。
"Hotkey: Building, Wall Grate",快捷键：建筑，墙用栅格
"Hotkey: Building, Wall/Floor/Stairs",快捷键：建筑，墙/地板/楼梯
"Hotkey: Building, Weaponrack",快捷键：建筑，武器架
"Hotkey: Building, Well",快捷键：建筑，水井
"Hotkey: Building, Wksp, Ashery",快捷键：建筑，工坊，灰烬坊
"Hotkey: Building, Wksp, Bowyer",快捷键：建筑，工坊，制弓铺
"Hotkey: Building, Wksp, Butcher",快捷键：建筑，工坊，屠宰场
"Hotkey: Building, Wksp, Carpenter",快捷键：建筑，工坊，木匠铺
"Hotkey: Building, Wksp, Clothes",快捷键：建筑，工坊，裁缝铺
"Hotkey: Building, Wksp, Craftsman",快捷键：建筑，工坊，工艺坊
"Hotkey: Building, Wksp, Dyer",快捷键：建筑，工坊，染坊
"Hotkey: Building, Wksp, Farmer",快捷键：建筑，工坊，农夫工坊
"Hotkey: Building, Wksp, Fishery",快捷键：建筑，工坊，渔场
"Hotkey: Building, Wksp, Jeweler",快捷键：建筑，工坊，珠宝坊
"Hotkey: Building, Wksp, Kitchen",快捷键：建筑，工坊，厨房
"Hotkey: Building, Hive",快捷键：建筑，蜂箱
"Hotkey: Building, Instrument",快捷键：建筑，乐器
"Hotkey: Building, Kennel",快捷键：建筑，犬舍
"Hotkey: Building, Machine Component",快捷键：建筑，机械部件
"Hotkey: Building, Machine Component, Gear Assembly",快捷键：建筑，机械部件，齿轮装置
"Hotkey: Building, Machine Component, Horizontal Axle",快捷键：建筑，机械部件，横向轴
"Hotkey: Building, Machine Component, Rollers",快捷键：建筑，机械部件，滚轮
"Hotkey: Building, Machine Component, Screw Pump",快捷键：建筑，机械部件，螺旋泵
"Hotkey: Building, Machine Component, Vertical Axle",快捷键：建筑，机械部件，竖向轴
"Hotkey: Building, Machine Component, Water Wheel",快捷键：建筑，机械部件，水车
"Hotkey: Building, Machine Component, Windmill",快捷键：建筑，机械部件，风车
"Hotkey: Building, Military",快捷键：建筑，军事
"Hotkey: Building, Nest Box",快捷键：建筑，巢箱
"Hotkey: Building, Paved Road",快捷键：建筑，铺石道路
"Hotkey: Building, Siege, Ballista",快捷键：建筑，攻城器械，弩炮
"Hotkey: Building, Siege, Catapult",快捷键：建筑、攻城器械、投石机
"Hotkey: Building, Slab",快捷键：建筑、石板
"Hotkey: Building, Statue",快捷键：建筑、雕像
"Hotkey: Building, Support",快捷键：建筑、支柱
"Hotkey: Building, Table",快捷键：建筑、桌子
"Hotkey: Building, Traction Bench",快捷键：建筑、牵引台
"Hotkey: Building, Trade Depot",快捷键：建筑、贸易站
"Hotkey: Building, Trap",快捷键：建筑、陷阱
"Hotkey: Building, Trap, Cage",快捷键：建筑、陷阱、笼子
"Hotkey: Building, Trap, Lever",快捷键：建筑、陷阱、拉杆
"Hotkey: Building, Trap, Stone",快捷键：建筑、陷阱、石头
"Hotkey: Building, Trap, Trigger",快捷键：建筑、陷阱、触发器
"Hotkey: Building, Trap, Upright Spear/Spike",快捷键：建筑、陷阱、直立矛/尖刺
"Hotkey: Building, Trap, Weapon",快捷键：建筑、陷阱、武器
"Hotkey: Building, Vertical Bars",快捷键：建筑、竖栅栏
How have your sturdy charges fared in your absence?,在你离开期间，你那些坚韧的子民过得如何？
How kind!  Thank you so much.,真是有心！非常感谢。
How may I serve you?,有何吩咐？
How will you respond about your profession?,你要如何回应关于你职业的问题？
How will you respond to the accusation?,你要如何回应这项指控？
How will you respond to the adoption request?,你要如何回应这项收养请求？
How will you respond to the demand for tribute?,你要如何回应这项贡品要求？
How will you respond to the demand to yield?,你要如何回应这项投降要求？
How will you respond to the invocation?,你要如何回应这场祈唤？
How will you respond to the offer of peace?,你要如何回应这项和平提议？
How will you respond to the offer of service?,你要如何回应这项效力提议？
How will you respond to the offer of tribute?,你要如何回应这项贡品提议？
How will you respond to the position offer?,你要如何回应这项职位授予？
How will you respond to the request for a guide?,你要如何回应这项向导请求？
How will you respond to the request for directions?,你要如何回应这项问路请求？
"Hotkey: Building, Wksp, Lavamill",快捷键：建造、工坊、岩浆磨坊
"Hotkey: Building, Wksp, Leather",快捷键：建造、工坊、制革坊
"Hotkey: Building, Wksp, Loom",快捷键：建造、工坊、织布坊
"Hotkey: Building, Wksp, Mason",快捷键：建造、工坊、石匠坊
"Hotkey: Building, Wksp, Mechanic",快捷键：建造、工坊、机械坊
"Hotkey: Building, Wksp, Metalsmith",快捷键：建造、工坊、金属锻造坊
"Hotkey: Building, Wksp, Millstone",快捷键：建造、工坊、石磨坊
"Hotkey: Building, Wksp, Quern",快捷键：建造、工坊、手推磨
"Hotkey: Building, Wksp, Siege",快捷键：建造、工坊、攻城工坊
"Hotkey: Building, Wksp, Still",快捷键：建造、工坊、酿酒坊
"Hotkey: Building, Wksp, Tanner",快捷键：建造、工坊、剥皮坊
"Hotkey: Building, Workshop",快捷键：建造、工坊
"Hotkey: Building, Workshops, Cloth/Leather",快捷键：建造、工坊、布料/皮革
"Hotkey: Building, Workshops, Farming",快捷键：建造、工坊、农业
Hover over an alert icon to see the information.,将鼠标悬停在警报图标上可查看信息。
I have performed the rites of,我主持了
I hear that a group calling itself,我听说有个自称
I hear that a group from,我听说有一群来自
I hear that refugees calling themselves,我听说有一群自称
I hear that there is an insurrection against,我听说有人起义反抗
I hope you find what you are seeking here.,希望你能在此找到你要找的东西。
I just don't understand,我只是不明白
I require it as a symbol of the,我需要它作为
I saw a performance of,我观看了一场
I see your low race still revels in death.,我看你们这低贱的种族还在沉迷于死亡。
I started my pilgrimage in,我的朝圣始于
I thought you called yourself,我记得你自称
I tire of this pointless skirmishing.,我厌倦了这场毫无意义的冲突。
I was attacked by my own dead,我被自己的死者袭击了
I was denied residency in,我在那里被拒绝了居留
How will you respond to the request for information?,你将如何回应这次询问信息的请求？
How will you respond to the request to cease hostilities?,你将如何回应这次停止敌对行动的请求？
How will you respond to the tribute cancellation?,你将如何回应这次取消贡品的请求？
How will you respond to this dismissal?,你将如何回应这次辞退？
How will you respond to this flattery?,你将如何回应这番恭维？
How will you respond to this passive reply?,你将如何回应这句敷衍的回答？
How will you respond to this statement of values?,你将如何回应这番价值观陈述？
How will you respond?,你将如何回应？
"However, skill is the most important determiner of hits versus misses.",不过，技能是决定命中或失手的最重要因素。
Huge Non-Prone Profile,巨大的非俯卧轮廓
Humorless      <->       Zany,古板乏味      <->       滑稽古怪
I am a little confused.,我有点困惑。
I am forming a grudge against,我对……心怀怨恨
I am honored to be in your presence.,能见到您，我深感荣幸。
I am on a mission from,我奉……之命行事
I was near to a caged,我曾在一只笼子旁边
I will settle this my way.,我会按自己的方式解决这事。
"I wish I could tell you where to begin your search.  Until then, you are free to do as you please.",真希望我能告诉你从哪里开始搜索。在那之前，你可以随意行动。
I would be honored if you would become a,若您能成为一名
I would be honored to serve as a,我很荣幸能作为一名
I would love to join,我很乐意加入
I'd watch out for them.,我会提防他们的。
I'm confused.  Did you want something?,我有点糊涂了。您有什么事吗？
I'm giving up on this hopeless venture.,我要放弃这没有希望的事业了。
I'm kicking you out of,我要把你逐出
I'm preparing to travel to,我正准备前往
I'm returning on my own.,我自己回去了。
I'm returning to my home in,我要回到我在
I've already searched in,我已经在
I've been discussing,我一直在讨论
I've been mulling over,我一直在琢磨
I've boldly searched,我大胆地搜寻了
I've decided.  Let's call our troupe,我决定了。让我们把剧团命名为
I've heard of a place called,我听说有个地方叫
I've made a breakthrough regarding,我取得了关于……的突破
I've searched nearly the whole world over.,我几乎找遍了全世界。
I/O error while loading macro,加载宏时发生I/O错误
I/O error while writing keyboard mapping,写入键盘映射时发生I/O错误
IT_LOCATION token not valid,IT_LOCATION标记无效
"If a gait has two numbers, the first number is the starting speed for the gait, and the second is the maximum speed.",如果一个步态有两个数字，第一个数字是该步态的起始速度，第二个是最大速度。
"If a task does not have a default work detail, you can create a custom work detail.  Once you assign citizens to the task, you can then set [C:5:0:1]""Only selected do this""[C:7:0:0] if you want to restrict it.","如果某个任务没有默认工作明细，你可以创建自定义工作明细。指派市民执行该任务后，你可以设置[C:5:0:1]""仅限选中者执行""[C:7:0:0]来加以限制。"
"If all of your [C:6:0:0]Stockpiles[C:7:0:0] are full, go ahead and place another one.",如果你所有的[C:6:0:0]储藏区[C:7:0:0]都满了，就再放置一个新的。
"If it were in a cage of some kind...  As it stands, I can't accept something that wriggles and writhes so.",如果它被装在某种笼子里……就现在这样，我可没法接受这种扭来扭去的东西。
"If the [C:5:0:1]Stockpile[C:7:0:0] menu is still open, you can close it now by right-clicking.  Right-clicking can",如果[C:5:0:1]储藏区[C:7:0:0]菜单还开着，你现在可以右键点击将其关闭。右键点击可以
"If the fallen logs are accessible, everyone will help store them in the [C:6:0:0]Stockpile[C:7:0:0].",如果倒下的原木可以被够到，大家都会帮忙把它们存进[C:6:0:0]储藏区[C:7:0:0]。
"In the beginning, you'll probably find it populated with a variety of rumors and knowledge known to everybody from your home.  This could include some opportunities for adventure.",一开始，你可能会发现里面充满了各种谣言和你的家乡人人都知晓的知识。其中也许包含一些冒险的机会。
"In the rush of excitement, you've forgotten where you were going to go.",在一阵兴奋之中，你忘了自己原本要去哪里。
"In this part of the poem, the end rhymes don't need to match perfectly.",在这段诗歌中，尾韵不必完全押韵。
Inattentive <-> Perfectionist,粗心 <-> 完美主义
Incurious     <->     Curious,不好奇 <-> 好奇
Initial desert square count fails by,初始沙漠格数不符，差值为
Initial forest square count fails by,初始森林格数不符，差值为
Initial glacier square count fails by,初始冰川格数不符，差值为
Initial grassland square count fails by,初始草原格数不符，差值为
Initial hill square count fails by,初始丘陵格数不符，差值为
Initial mountain square count fails by,初始山脉格数不符，差值为
Initial ocean square count fails by,初始海洋格数不符，差值为
Initial swamp square count fails by,初始沼泽格数不符，差值为
Initial tundra square count fails by,初始冻原格数不符，差值为
Inquire about listener's profession,询问听者的职业
I am returning it to,我将其归还给
I am reunited with my,我与我的重聚了
I am sort of confused.,我有点困惑。
I am together with my,我和我的在一起
I can only rest when I've brought the prize safely to,只有把这件珍品安全送到，我才能安息
"I can't possibly accept, but how about this?  A true bargain.",我不能收下，不过这个如何？真是笔划算的买卖。
I cannot give up my quest for,我不能放弃追寻
I cannot lay a quest on you.  I merely ask that you serve,我无法托付任务给你。我只是请求你效力于
I conducted a meeting in,我在主持了一次会议
"I deign to favor you with my little pretty,",我愿将我的小珍宝赐予你，
I demand a portion of the official funds from,我要求从的官方资金中分得一份
I do not know!  My instructions come from,我不知道！我的指令来自
"I give to you this fine beast,",我将这头优良野兽赠予你，
I have communed with,我曾与交流
"I have no master, but",我没有主人，但
"If you have very few biome types and are placing good or evil regions, they'll often crowd out the civilizations as well.",如果你的生物群系类型很少，又要放置善良或邪恶区域，它们往往会把文明也挤出去。
"If you haven't suffered any casualties, you should have these labors assigned already.",如果你还没有出现过伤亡，这些劳动应该已经分配好了。
"If you miss an announcement or would like to review old messages, you can click the indicated button or press",如果你错过了某条公告，或想查看旧消息，可以点击指示的按钮或按下
"If you obtain any magical powers during your adventure, you will find them in this menu.",如果你在冒险中获得了任何魔法能力，可以在本菜单中找到它们。
"If you right click in the play area, you'll open a context-sensitive menu of actions.  This lets you select a destination more carefully.",在游戏区域点击右键，会打开一个情境相关的操作菜单。这可以让你更精确地选择目的地。
"If you see brown downward triangles under your character, you will move very slowly and should try to stand if you are able.",如果你看到角色下方出现棕色向下三角形，说明你的移动速度很慢，如果还能行动的话应尽量站立。
If you survive until the caravan comes you may also trade for [C:6:0:1]Drinks[C:7:0:0],如果你撑到商队到来，还可以交易获得[C:6:0:1]酒水[C:7:0:0]
"If you want to find a relative,",如果你想寻找一位亲戚，
"If you want to offer your condolences,",如果你想表达哀悼之情，
"If you'd like to focus a few of your citizens on farming, which gives skill benefits, you can assign them to the [C:2:0:0]Planters[C:7:0:0] work detail from the [C:5:0:1]Labor[C:7:0:0] menu.",如果你想让一部分市民专注于种植以获得技能加成，可以在[C:5:0:1]劳动[C:7:0:0]菜单中把他们分配到[C:2:0:0]种植工[C:7:0:0]工作班组。
If your [C:6:0:0]Refuse Stockpile[C:7:0:0] starts to fill up you can create a [C:3:0:0]Dump Zone[C:7:0:0].,如果你的[C:6:0:0]垃圾储存区[C:7:0:0]开始堆满，可以创建一个[C:3:0:0]倾倒区[C:7:0:0]。
"If your needs aren't met, you won't perform quite as well in most situations.",如果需求得不到满足，你在大多数情况下的表现都会打折扣。
Ignoring that I don't quite concur...,对此我不太认同……
Image information for,图像信息：
Impatiently say goodbye,不耐烦地告别
Important and sometimes urgent information is given as alerts on the left side of the screen.,重要且有时紧急的信息会以警报形式显示在屏幕左侧。
Imported clothing market,进口衣物市场
Imported food market,进口食物市场
Imported goods market,进口货物市场
"In Adventure mode, currency plays a role.  You can trade the accepted currency of whatever realm you are in for a precise measure of",在冒险模式中，货币会发挥作用。你可以用所在领地接受的货币精确兑换一定量的
"In any case, peace is no longer an option.",无论如何，和平已不再是一个选项。
"In order for some functions to be used, like work orders or bookkeeping, [C:5:0:0]Administrators[C:7:0:0] must be assigned.",要使用某些功能，如工作单或记账，必须指定[C:5:0:0]政务官[C:7:0:0]。
In order to hold [C:6:0:1]Scrolls[C:7:0:0] and [C:6:0:1]Codices[C:7:0:0] you will need [C:6:0:0]Bookcases[C:7:0:0].  You will also need,要存放[C:6:0:1]卷轴[C:7:0:0]和[C:6:0:1]典籍[C:7:0:0]，你需要[C:6:0:0]书架[C:7:0:0]。还需要
"In order to make [C:6:0:1]Metal Bars[C:7:0:0] for the [C:2:0:0]Metalsmith[C:7:0:0], you must smelt [C:6:0:1]Ore[C:7:0:0].",要为[C:2:0:0]金属匠[C:7:0:0]制作[C:6:0:1]金属条[C:7:0:0]，你必须熔炼[C:6:0:1]矿石[C:7:0:0]。
"In order to pursue the wealth of the earth, you must dig deeper!",要追求大地的财富，你必须挖掘得更深！
"In order to receive recognition for your accomplishments, you must tell the relevant people about them.  The quest giver is a safe bet,",要让你的成就获得认可，你必须告知相关人员。找发布任务的人准没错，
"In quartertones, their spacing is roughly",以四分音计，它们的间距大致为
"In retrospect, interrogator may have completely misjudged subject's character.",事后看来，审讯者可能完全误判了对象的人品。
"In tactical mode, you can control every party member manually if you wish, allow you to coordinate movements and attack with more precision.",在战术模式下，你可以手动控制每个队员，从而更精确地协调移动和攻击。
In the [C:6:0:1]Temple Info Menu[C:7:0:0] you can see the value of the [C:1:0:1]Temple[C:7:0:0].  Sometimes the worshippers will demand,在[C:6:0:1]神殿信息菜单[C:7:0:0]中，你可以查看[C:1:0:1]神殿[C:7:0:0]的价值。有时信徒们会要求
Instruments[C:7:0:0] these can also be used by the [C:1:0:1]Tavern[C:7:0:0].,乐器[C:7:0:0]，[C:1:0:1]酒馆[C:7:0:0]也可以使用这些乐器。
Interact with this item in a different way (opens menu.),以其他方式与该物品互动（打开菜单。）
Interaction (target),互动（目标）
Interaction Source IS_SECRET token not found,未找到互动来源的 IS_SECRET 标记
Interaction Token not recognized :,无法识别的互动标记：
Interface scaling percentage if not fitting width,界面缩放比例（当宽度不符时）
Interrogation Report:,审讯报告：
Invader construction aversion (smaller = more construction),入侵者建造厌恶度（数值越小建造越多）
Invader construction speed (smaller = slower),入侵者建造速度（数值越小越慢）
Invader death aversion (eight deaths),入侵者死亡厌恶度（八次死亡）
Invader death aversion (five deaths),入侵者死亡厌恶度（五次死亡）
Invader death aversion (four deaths),入侵者死亡厌恶度（四次死亡）
Invader death aversion (nine deaths),入侵者死亡厌恶度（九次死亡）
Invader death aversion (one death),入侵者死亡厌恶度（一次死亡）
Invader death aversion (seven deaths),入侵者死亡厌恶度（七次死亡）
"If there is a river or pond nearby you may consider fishing.  If the water isn't frozen, a worker with the",如果附近有河流或池塘，你可以考虑安排钓鱼。如果水面没有结冰，拥有
"If this is your first time playing, please heed the embark warnings about aquifers, saltwater, and other hazards.",如果你是初次游玩，请注意开局警告中关于含水层、盐水及其他危险因素的提示。
"If unpaused, your workers should start unloading the wagon into the [C:6:0:0]Stockpile[C:7:0:0].",如果不暂停，你的矮人会开始将货车上的物资卸载到[C:6:0:0]仓库[C:7:0:0]中。
"If you are a member of a hearth (a hearthperson), you can speak to your leader to receive an order.  Typically this will involve protecting the locals",如果你是炉堂成员（炉堂卫士），可以与你的领袖交谈以接取任务。通常任务内容是保护当地居民
"If you are carrying too much, you'll see an encumbrance indicator above the inventory button.  Encumbrance can cause you to move very slowly and should be avoided if possible.",如果你携带的物品过多，物品栏按钮上方会显示负重指示。负重过高会使你移动非常缓慢，应尽量避免。
"If you climb atop certain large branches, you can walk on them freely.",如果你爬上某些粗大的树枝，就可以在上面自由行走。
If you dig down enough layers you will find a near infinite amount of [C:6:0:1]Boulders[C:7:0:0] of various,如果你向下挖穿足够多的岩层，就会找到近乎取之不尽的各种[C:6:0:1]巨石[C:7:0:0]
"If you don't have a [C:5:0:0]Bookkeeper[C:7:0:0], or they don't have an [C:3:0:0]Office[C:7:0:0] to work in, numbers may be approximate.",如果你没有[C:5:0:0]账房主管[C:7:0:0]，或者他们没有[C:3:0:0]办公室[C:7:0:0]可以办公，数据可能只是约数。
"If you find that your stockpiles are filling up too fast, you can create room by building [C:6:0:1]Bins[C:7:0:0],",如果你发现仓库装满得太快，可以通过建造[C:6:0:1]货箱[C:7:0:0]来腾出空间，
"If you have a law enforcement administrator like a [C:5:0:0]Sheriff[C:7:0:0] or [C:5:0:0]Captain of the Guard[C:7:0:0], witnesses of crimes will make reports, which find their way here.",如果你有治安官员，例如[C:5:0:0]治安官[C:7:0:0]或[C:5:0:0]卫队长[C:7:0:0]，罪行的目击者就会提交报告，报告会汇集到这里。
"If you have a number pad, you can move one tile at a time by pressing",如果你有数字小键盘，可以通过按键每次移动一格
"If you have found magma you can build a [C:6:0:0]Magma Smelter[C:7:0:0] directly over it, otherwise you need [C:6:0:1]Fuel[C:7:0:0].",如果你找到了岩浆，可以直接在其上方建造[C:6:0:0]岩浆熔炉[C:7:0:0]，否则需要[C:6:0:1]燃料[C:7:0:0]。
"If you have multiple party members, your chances of being ambushed will be greatly reduced.",如果你有多名队员，遭遇伏击的几率将大幅降低。
"If you have party members or followers, they will take turns keeping watch and reducing the chance of ambush.",如果你有队员或追随者，他们会轮流放哨，降低遭遇伏击的几率。
"If you have some [C:6:0:1]Wood[C:7:0:0] stockpiled, you'll be able to place a [C:6:0:0]Carpenter's Workshop[C:7:0:0].",如果你储存了一些[C:6:0:1]木材[C:7:0:0]，就可以放置[C:6:0:0]木匠工坊[C:7:0:0]了。
Invader death aversion (six deaths),入侵者死亡厌恶（六次死亡）
Invader death aversion (ten+ deaths),入侵者死亡厌恶（十次及以上死亡）
Invader death aversion (three deaths),入侵者死亡厌恶（三次死亡）
Invader death aversion (two deaths),入侵者死亡厌恶（两次死亡）
Invader deconstruction aversion (smaller = more deconstruct),入侵者拆解厌恶（数值越小拆解越多）
Invader deconstruction speed (smaller = slower),入侵者拆解速度（数值越小越慢）
Invader digging speed (smaller = slower),入侵者挖掘速度（数值越小越慢）
Invader horizontal digging aversion (smaller = more digging),入侵者水平挖掘厌恶（数值越小挖掘越多）
Invader vertical digging aversion (smaller = more digging),入侵者垂直挖掘厌恶（数值越小挖掘越多）
Invalid ASCII GRAPHICS,无效的 ASCII GRAPHICS
Invalid ASCII RECTANGLE,无效的 ASCII RECTANGLE
"Inventory items are all worn, held, in containers, or otherwise related to specific body parts.  There is no abstract inventory space.",物品栏物品均为穿戴、持握、存放在容器中或与特定身体部位相关，不存在抽象的物品栏空间。
Investigate or interrogate (new menu),调查或审讯（新菜单）
Invite listener to become a,邀请听众成为
Invite listener to join,邀请听众加入
It is snowing outside.,外面下着雪。
It is still shrouded in mystery.,至今仍是个谜。
It is the symbol of the,这是……的象征
It is traditionally thought to be,传统上被认为是
"It pains me all the more, for the foul villain",这更让我痛心，因为那个卑鄙的恶徒
It should be brought to,应该把它带到
It was last rumored to be,最后有传言称它在
It will not be fair.,这样不公平。
It won't fit in your,它放不进你的
It would be wonderful if,如果……就太好了
"It's also generally wise to try to sleep in friendly places, but you might need to obtain permission.",在友好的地方睡觉通常也是明智之举，但你可能需要先获得许可。
"It's not the original, but we can hope the writing was copied faithfully.",这不是原件，但希望文字被忠实地抄录了下来。
It's time to build a [C:6:0:0]Stockpile[C:7:0:0] underground to unload them.  [C:6:0:0]Stockpiles[C:7:0:0] are crucial to moving,是时候在地下建造一个[C:6:0:0]仓库[C:7:0:0]来存放它们了。[C:6:0:0]仓库[C:7:0:0]对搬运至关重要
It's time to get to work!  Let's start by digging a stairwell into the ground.,是时候开工了！我们先从向下挖掘楼梯井开始。
It's too much!  You feel even more sick.,太多了！你感觉更加恶心。
Item creation failed: service unavailable.,物品创建失败：服务不可用。
Item creation failed: timeout.,物品创建失败：超时。
Item submission failed. (code,物品提交失败。（错误码
Item submission failed: access denied.,物品提交失败：访问被拒绝。
Item submission failed: banned.,物品提交失败：已被封禁。
Item submission failed: duplicate name.,物品提交失败：名称重复。
Item submission failed: duplicate request.,物品提交失败：请求重复。
Item submission failed: file not found.,物品提交失败：未找到文件。
Item submission failed: general failure.,物品提交失败：一般性错误。
Item submission failed: insufficient privilege.,物品提交失败：权限不足。
Item submission failed: invalid parameter.,物品提交失败：参数无效。
Item submission failed: limit exceeded.,物品提交失败：超出限制。
Item submission failed: locking failed.,物品提交失败：锁定失败。
Item submission failed: not logged on.,物品提交失败：未登录。
Item submission failed: service read only.,物品提交失败：服务为只读。
It's too much!  You might not be able to keep it down.,太多了！你可能咽不下去。
It's up to you to choose whom to convict.,由你来决定判定谁有罪。
It's very important to note that only one creature can be standing in a tile at a time.,非常重要的一点是：一个格子同一时间只能站一个生物。
Item creation failed. (code,物品创建失败。（代码
Item creation failed: access denied.,物品创建失败：拒绝访问。
Item creation failed: banned.,物品创建失败：已被封禁。
Item creation failed: duplicate name.,物品创建失败：名称重复。
Item creation failed: duplicate request.,物品创建失败：请求重复。
Item creation failed: file not found.,物品创建失败：找不到文件。
Item creation failed: general failure.,物品创建失败：一般性错误。
Item creation failed: insufficient privilege.,物品创建失败：权限不足。
Item creation failed: invalid param.,物品创建失败：参数无效。
Item creation failed: limit exceeded.,物品创建失败：超出上限。
Item creation failed: not logged on.,物品创建失败：未登录。
Item creation failed: service read only.,物品创建失败：服务为只读。
Item submission failed: service unavailable.,物品提交失败：服务不可用。
Item submission failed: timeout.,物品提交失败：超时。
Item successfully submitted. (File id,物品提交成功。（文件编号
Its nature is still an intriguing puzzle to the learned.,其本质对学者们而言仍是一个耐人寻味的谜题。
Job loaded into game with job ID <0. Ignoring.,工作已载入游戏，工作 ID <0。忽略。
Jobs removed from unpowered,已从断电的
Join me and we can shake off the yoke of,加入我，我们就能摆脱
Join me and we'll bring,加入我，我们将为
Joy is on the horizon.,欢乐就在前方。
Just make sure you have the correct [C:6:0:0]Furniture[C:7:0:0] placed in the rooms with [C:6:0:0]Doors[C:7:0:0] or vertical entries separating each room before you begin.,开始之前，请确保你在房间内正确放置了[C:6:0:0]家具[C:7:0:0]，且每个房间之间以[C:6:0:0]门[C:7:0:0]或竖直通道分隔。
"Just reunited after a long journey, you are together with your companions again.",长途跋涉后久别重逢，你和同伴们终于再次相聚。
"Justice, Interrogate",司法，审讯
Kick listener out of,将监听者踢出
LAYER_SET had no token,LAYER_SET 缺少标记
Land holder population trigger,领主人口触发条件
Let another day pass.,让又一天过去。
Let the party venture forth!,让队伍出发吧！
Let there be peace between,让双方缔结和平
"Let's make a safe place to work.  Select [C:5:0:1]Regular Mining[C:7:0:0] mode, to the left of [C:5:0:1]Stair Mining[C:7:0:0] mode.",让我们打造一个安全的工作场所。请选择 [C:5:0:1]普通挖掘[C:7:0:0] 模式，位于 [C:5:0:1]楼梯挖掘[C:7:0:0] 模式的左侧。
"Linguistic skill is required in the visual presentation as well, as",视觉呈现中同样需要语言技巧，因为
List available services,列出可用服务
Load Game: Invalid Activity ID Number,读取游戏：无效的活动 ID 编号
Load Game: Invalid Agreement ID Number,读取游戏：无效的协议 ID 编号
Load Game: Invalid Army Controller ID Number,读取游戏：无效的军队控制器 ID 编号
Load Game: Invalid Army ID Number,读取游戏：无效的军队 ID 编号
Load Game: Invalid Army Tracking Info ID Number,读取游戏：无效的军队追踪信息 ID 编号
Load Game: Invalid Art Image Chunk ID Number,读取游戏：无效的艺术图像块 ID 编号
"Load Game: Invalid Artifact ID Number,",读取游戏：无效的传世之物 ID 编号，
Load Game: Invalid Belief System ID Number,读取游戏：无效的信仰体系 ID 编号
"Load Game: Invalid Building ID Number,",读取游戏：无效的建筑 ID 编号，
Land holder production trigger,领主晋升生产触发条件
Land holder trade trigger,领主晋升贸易触发条件
Land's status elevated,领地地位提升
Large Non-Prone Profile,大个子非侏儒外貌
"Last I heard, it was held by",据我所知，它被持有于
"Last I heard, it was in",据我所知，它位于
"Last I saw, it was held by",我最后一次见到时，它被持有于
"Last I saw, it was in",我最后一次见到时，它位于
Later you can assign [C:5:0:0]Doctors[C:7:0:0] to specific roles such as the [C:5:0:0]Diagnostician[C:7:0:0].,之后你可以为[C:5:0:0]医生[C:7:0:0]分配具体职责，例如[C:5:0:0]诊断师[C:7:0:0]。
Later you can consider making a [C:3:0:0]Meeting Area[C:7:0:0],之后你可以考虑设立一个[C:3:0:0]集会区[C:7:0:0]
Later you may try the [C:5:0:1]Burrows[C:7:0:0] menu to create a safe place for your civilians to hide when real trouble comes.,之后你可以尝试[C:5:0:1] Barney [C:7:0:0]菜单……
Later you may want to customize your [C:6:0:0]Stockpiles[C:7:0:0] by clicking on them and pressing the [C:5:0:1]Custom[C:7:0:0],之后你可以点击并按[C:5:0:1]自定义[C:7:0:0]来自定义你的[C:6:0:0]仓库[C:7:0:0]
Lay quest to retrieve,委托寻回任务
Leather clothing shop,皮革衣物商店
Leisurely    <->     Frenetic,悠闲 <-> 狂热
Load Game: Invalid Crime ID Number,读取游戏：无效的罪行 ID 编号
Load Game: Invalid Cultural Identity ID Number,读取游戏：无效的文化身份 ID 编号
Load Game: Invalid Dance Form ID Number,读取游戏：无效的舞蹈形式 ID 编号
