text,translation
Converting to smoothing blueprint,转化为平滑蓝图
Claiming forbidden items and buildings,解除禁止的物品和建筑物
Forbidding items and buildings,禁止物体和建筑物
Designating items for melting,将物品标志为熔炼
Removing melting designations,移除熔炼标志
Designating items for dumping,将物品标志为垃圾
Removing dumping designations,移除垃圾标志
Hiding items from view,从视野中隐藏物品
Revealing hidden items,显示隐藏物品
Designating restricted traffic area,标志禁止通过
Designating low traffic area,标志回避通过
Removing traffic designations,移除通过标志
Designating high traffic area,标志优先通过
Removing mining/chopping/gathering/smoothing orders,移除挖掘/砍伐/采集/平滑指令
Horizontal axles can vary in length.,动力横轴可长可短. 
Set the orientation below.,在下方设定方向. 
Water wheels are 1x3 or 3x1.,水车是1x3或3x1大小的. 
The long side should align,长边应该对齐
with the water's flow.,随着水流的流动. 
Set the liquid flow direction below.,在下方设定液体流动方向. 
Water flows from the adjacent input tile,水会向相邻的地块流动
and from the tile below the input tile.,并且来自输入地块下方的地块. 
Minecart rollers can vary in length.,矿车滚轴可长可短. 
Set the orientation and speed below.,在下方设置方向和速度. 
Resets,重置
One use only,仅供一次使用
Water,水
Depth,深度
Water does not trigger,水不会触发
I started a fist fight.,我开始了拳打. 
Magma does not trigger,岩浆不会触发
Cart,矿车
Weight,重量
Minecarts do not trigger,矿车不会触发
Citizens trigger,公民会触发
Citizens do not trigger,公民不会触发
Creatures do not trigger,生物不会触发
Set the friction and auto-dump direction.,设置摩擦力和自动倾倒方向. 
Auto-dumping is not required.,不需要自动倾倒. 
Set the draw direction below.,在下方设置绘图方向
Then select the corners of the bridge.,然后选择桥梁的四角. 
Click a tile to place the ,选择一个地块来放置 
Click a tile to be one end of the ,选择一个地块来成为一端 
Click a tile to be a corner of the ,选择一个地块来成为一角 
(spans ,(跨越 
 levels), 层)
Select material after placement,在放置蓝图后选择材料
Use closest material,使用最近的材料
Keep building after placement,在放置蓝图后继续建造
Bars and,条锭和
Blocks,块
Finished,已完成
Goods,成品
Sheets,纸类
Custom,自定义
Click an icon to set stockpile type.,选择一个图标指定储物区种类. 
Warning: stockpile has no type.,警告:储物区未指定种类. 
Click an existing stockpile to select it.,点击一个已存在的储物区来选择它. 
Click in the play area,点击游玩区域
to paint the stockpile.,来划定储物区. 
Accept,接受
Overlapping,重叠的
Water Source,水源
Gather Fruit,水果采集区
Garbage Dump,垃圾倾倒
Pen/Pasture,畜栏/牧场
Pit/Pond,坑洞/池塘
Meeting Area,集会区域
Animal Training,动物训练
Dining Hall,餐厅
Archery Range,靶场
Click an existing zone to select it.,点击已存在的区域来选择它. 
Select a type below to add a zone.,选择下列种类来新建区域. 
Click an icon to add a new zone.,点击图标来新建区域
Select a rectangle,矩形选择
which contains ,包含 
coffins,棺材
chairs,椅子
beds,床
tables,桌子
in order to form,以此形成
tombs.,墓穴. 
throne rooms/studies.,王座室/书房. 
bedrooms.,卧室. 
dining halls.,餐厅. 
Rooms with multiple beds,有多张床铺的房间
will be made into,将被划定成
dormitories.,宿舍. 
Multi,多个
Paint,油漆
Select another rectangle,选择另一个矩形
to continue.,接着说. 
tomb,墓
office,办公室
bedroom,卧室
dining hall,餐厅
 created., 已创建. 
dormitor,宿舍
coffin,棺材
chair,椅子
bed,床
table,表
 rejected (already in use.), 被拒绝(已在使用中)
 rejected (not enclosed.), 被拒绝(未闭合)
to paint the zone.,来划定区域. 
Add new burrow,新建警戒区
Nobody assigned,未指派人员
to paint the burrow.,来划定洞所. 
Click a tile to position the stop.,点击一个地块来放置车站. 
Building track stops is recommended!,建议建造轨道站点!
Add new route,新建路线
Stop ,停止 
Indep,独立
Create a creature to begin.,创造一个生物以开始
Pop,人口
Drink,饮料
Early ,早 
Mid-,中-
Late ,晚 
Year ,年 
Elevation ,海拔 
Conflict Level,冲突等级
Encounter,遭遇
Horseplay,喧闹
Training,训练
Brawl,斗殴闹事
Non-lethal,非致命的
Lethal,致命的
No Quarter,无慈悲的
Morale/Fear ,军心/畏惧 
Created Wealth:,生产总值:
Weapons:,武器:
Armor and Garb:,护甲和装束:
Furniture:,家具:
Other Objects:,其他物件:
Architecture:,建筑:
Displayed:,隐藏:
Held/Worn:,握持/装备:
Imported Wealth:,已购入财富:
Exported Wealth:,已出口财富:
You need a broker with,你需要一位有估价技能
the appraisal skill.,的经纪人.
A bookkeeper helps,簿记员会很有用
with accuracy.,精准的. 
Trade Information:,贸易信息:
Left click for recenter and expand options.  Right click to dismiss.,左键单击可重新定位和展开选项.  右键点击可以解散. 
Following ,以下 
Tooltip,工具提示
Set digging orders.,设置挖掘命令. 
Finish setting dig orders.,结束挖掘命令设置. 
Dig a regular hallway or room.  Assign a miner to the work detail if necessary.  The miner requires a pick.,"挖一个普通的走廊或房间.  如果有必要的话,给工作细节分配一个矿工.  矿工需要一个镐. "
"Designate constructed walls, floors, and other constructed tiles to be removed by miners.  This also designates all stairwells and ramps.","指定建造的墙壁, 地板和其他建造的瓷砖,由矿工拆除.  这也指定了所有楼梯间和坡道. "
"Dig a stairwell on this level, going up or down.  Your selection must span multiple elevations.  Click on a tile, change elevations, and click again.","在这一层挖一个楼梯间,向上或向下.  您的选择必须跨越多个高程.  点击一个图块,更改海拔,然后再次点击. "
"Dig a ramp on this level, going up.","在这一层挖一个斜坡,向上. "
"Dig a channel, making a ramp on the level below.","挖一条通道,在下面一层做一个坡道. "
Hold left button to draw.,按住左键可以画画. 
Left click to choose corners of a rectangle.,左击选择矩形的一个边角. 
Dig every tile selected.,挖掘每一块选定的区块. 
"Dig only ore and gems selected, and automine any ore and gems of the same type which are uncovered.","只挖掘选定的矿石和宝石,并自动挖掘任何未发现的相同类型的矿石和宝石. "
Dig only ore and gems selected.,只挖掘选定的矿石和宝石. 
Dig only gems selected.,只挖掘选定的宝石. 
Selected tiles are very high priority.,所选图块的优先级非常高. 
Selected tiles are high priority.,选定的图块具有高优先级. 
Selected tiles are high-medium priority.,选定的图块具有高中优先级. 
Selected tiles are medium priority. [DEFAULT],选定的图块具有中等优先级.  [默认]
Selected tiles are medium-low priority.,选定的图块具有中低优先级. 
Selected tiles are low priority.,选定的图块具有低优先级. 
Selected tiles are very low priority.,所选图块的优先级非常低. 
Change to standard dig mode.,更改为标准挖掘模式. 
Change to blueprint-only mode.,更改为仅蓝图模式. 
Change blueprints to standard selections.,将蓝图改为标准选择. 
Change standard selections to blueprints.,将标准选择改为蓝图. 
Show advanced options.,显示高级选项. 
Hide advanced options.,隐藏高级选项. 
Set tree chopping orders.,设定树木砍伐命令. 
Set tree chopping orders.  Select the base of the tree so that the woodcutter can reach it.  Assign a woodcutter to the work detail if necessary.  The woodcutter requires an axe.,"设定砍树命令. 选择树的底部,以便樵夫能够到. 如有必要,指派一名樵夫负责这项工作. 樵夫需要一把斧头. "
Finish setting tree chopping orders.,结束树木砍伐命令设定. 
Change to standard chop mode.,改为标准砍伐模式. 
Set plant gathering orders.,设置植物采集命令. 
Set plant gathering orders.  Some plants require fruit or other growths to be present.,设置植物采集命令. 有些植物需要有果实或其他可采集生长物才能进行. 
Finish setting plant gathering orders.,完成植物采集命令的设置. 
Change to standard gather mode.,改为标准采集模式. 
"Set wall smoothing, engraving, track carving, and fortification orders.","设置墙壁平滑, 雕刻, 轨道雕刻和防御工事命令. "
Smooth a rough wall to make it more pleasing to your citizens.  This also prepares the wall for engraving or fortification.,"将粗糙的墙壁打磨平整,让您的市民更满意. 这也为雕刻或防御工事准备了墙壁. "
Engrave artwork into a smooth wall.,在光滑的墙上雕刻艺术品. 
Carve a track in a stone floor.  Tracks are used by minecarts with routes set in the hauling menu.,"在石头地板上雕刻一条轨道.  轨道由矿车使用,其路线在运输菜单中设置. "
Carve a gap in a smooth wall to allow your archers to fire upon invaders.,"在光滑的墙壁上开出一个缺口,让您的弓箭手可以向入侵者射击. "
Finish setting wall orders.,完成墙体命令设置. 
Change to standard orders mode.,改为标准命令模式. 
"Designate items for dumping and melting, claim forbidden items and buildings, and set item visibility.","指定倾倒和熔化的物品,要求禁止的物品和建筑,并设置物品的可见性. "
Finish setting item/building designations.,完成对物品/建筑物的标志. 
Claim a forbidden item or building so it will be used by your citizens.,"允许一个被禁止的物品或建筑,这样它就会被你的公民使用. "
Forbid your citizens from using an item or building.,禁止你的公民使用某种物品或建筑. 
Designate an item for dumping in a dumping zone.,指定在抛弃区抛弃的物品
Remove dumping designations.,移除垃圾标志. 
Designate an item for melting at any smelter.,指定一件物品在任何冶炼厂进行熔化. 
Remove melting designations.,移除熔炼标志. 
Remove hidden designations.,移除隐藏标志. 
Hide an item or building from your view.  Citizens will still use it.,从你的视野中隐藏一个物品或建筑.  公民仍然会使用它. 
Set high and low traffic areas.,设置高流量和低流量区域. 
Finish setting traffic areas.,完成设置交通区域. 
Set a high traffic area.  Use this in wide central passages.,设置一个高流量区域.  在宽阔的中央通道使用. 
"Set a normal traffic area, the default state.","设置一个正常的交通区域,默认状态. "
Set a low traffic area.  Citizens will look for better routes.,设置一个低流量的区域.  公民会寻找更好的路线. 
Set a restricted traffic area.  Citizens will look hard for better routes.  They will still use the area if other routes do not exist or are too long.,"设置一个限制交通的区域.  市民们会努力寻找更好的路线.  如果其他路线不存在或太长,他们仍然会使用该地区. "
Set the exact weight in steps of a traffic type.,"设置一个流量类型的确切权重,按步骤进行. "
"Remove mining, woodcutting, plant gathering, and smoothing orders.","取消开采, 砍伐, 植物采集及平整命令. "
Finish removing mining etc. orders.,完成删除采矿等命令的设置. 
Place structures and work areas that require construction materials.,放置需要建筑材料的结构和工作区域. 
Finish placing structures.,完成放置结构. 
Place stockpiles for item storage.,放置物品储存的库存. 
Finish placing stockpiles.,完成堆积物放置. 
"Start painting a new stockpile.  Once the tiles are chosen, you'll be able to set the details.","开始画一个新的库存.  一旦选择了瓷砖,你就可以设置细节. "
Remove the stockpile being painted permanently.  Also removes existing zones!,永久删除被涂抹的堆积物.  同时删除现有区域!
Repaint this stockpile.,重新划定这个库存. 
Erase a portion of this stockpile.,抹去这部分库存. 
Remove this stockpile permanently.,永久性地删除这个库存. 
Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.,"切换库存是否可以从任何地方提取物品,或者只从特定的车间和库存提取. "
Set from which workshops and stockpiles this stockpile gives and takes items.,设置该仓库从哪些工坊和仓库中提供和获取物品. 
"Set how many barrerls, bins, and wheelbarrows this stockpile can use.","设置这个库存可以使用多少个桶, 箱和手推车. "
"Place zones to establish meeting areas, pastures, and more.","放置区域以建立会议区, 牧场和更多. "
Finish placing zones.,完成区域放置. 
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","开始划定一个新的区域.  一旦选择了区块,你就可以设置细节. "
Go to the previous zone overlapping the tile you clicked.,转到与你点击的区块重叠的前一个区域. 
Go to the next zone overlapping the tile you clicked.,到下一个与你点击的图块重叠的区域. 
Repaint this zone.,重新划定这个区域. 
Erase a portion of this zone.,擦除该区域的一部分. 
Suspend activities in this zone.  Does not remove the zone.,暂停在该区域的活动. 不删除区域. 
Remove this zone permanently.,永久删除此区域. 
Gather fruit in trees in and just above this zone.  Requires a stepladder.,在该区域及其上方的树上采摘水果. 需要梯子. 
Gather fruit and vegetables from shrubs in this zone.,从该区域的灌木丛中采集水果和蔬菜. 
Gather fallen fruit in this zone.,在这个区域收集掉落的水果. 
Select animals to be placed in this pasture zone.  They will stay after being led here.,选择要放置在该牧场区域的动物. 他们被带到这里后会留下来. 
Designate this zone as the top of a pit.  Citizens will not fill the pit below with water.,将这个区域指定为坑的顶部.  公民不会将水填满下面的坑. 
Designate this zone as the top of a pond.  Citizens will bring buckets of water if the pond below isn't filled.,"把这个区域指定为池塘的顶部.  如果下面的池塘没有被填满,市民们会带来水桶. "
Select animals to be dropped into the pit or pond below this zone.  Animals will not feel obligated to stay if they can find a way out.,"选择要放入该区域下方的坑或池塘中的动物.  如果动物能找到出路,它们就不会觉得有义务留下来. "
"Assign a new or existing location to this zone.  Locations are groups of zones and rooms with a larger purpose, like a tavern, a temple, a library, or a craft guildhall.","将一个新的或现有的地点指派给这个区域.  地点是由区域和房间组成的,具有比较大型的用途,如酒馆, 寺庙, 图书馆或手工业行会. "
Set details for the assigned location.,设置指定位置的详细信息. 
Select this option and any unassigned deceased citizens will be buried here automatically.,"选择这个选项,任何未分配的已故公民将自动埋在这里. "
Select this option and any unassigned deceased pets will be buried here automatically.,"选择这个选项,任何未分配的已故宠物都将自动埋在这里. "
Choose which squads will use this barracks.,选择哪些小队将使用这个营房. 
Remove the zone being painted permanently.  Also removes existing zones!,永久移除正在涂漆的区域. 并且删除现有区域!
Your citizens will drink at a water source zone or gather water using buckets for various tasks.  This is useful if you don't have a functioning well and you want to control exactly where the tasks take place.,"你的公民将在水源区喝水,或用水桶为各种任务收集水.  如果你没有有效的水井,而你又想控制任务发生的确切位置,这就很有用. "
"Citizens assigned to the fishing work detail will fish in this zone if it exists.  Otherwise, they will fish everywhere.","分配到捕鱼工作细节的市民将在该区域捕鱼(如果存在). 否则,他们会到处钓鱼. "
Plant gathering zones are used in locations where plants will be gathered frequently.  Use the gather designation otherwise.,"植物采集区用于经常采集植物的地方.  在其他情况下,请使用采集指定. "
"Items designated for dumping will be tossed into open air spaces included in this zone.  If no open air tiles are included, they will dump the items on the floor.","被指定为倾倒的物品将被扔到包括在这个区域的露天空间.  如果没有包括露天空间的瓷砖,他们将把物品扔在地上. "
Certain livestock need to graze on grass.  Assign these animals to a pasture zone.  No fencing is needed.,某些牲畜需要在草地上吃草. 将这些动物分配到牧场区. 不需要围栏. 
"Animals assigned to pit/pond zones are dumped in the pit, but will leave the zone afterward if possible.  If the pit is designated as a pond, your citizens will attempt to fill it with water using buckets.","被分配到坑/池塘区的动物被扔在坑里,但如果可能的话,之后会离开该区.  如果坑被指定为池塘,你的公民将试图用水桶将其填满. "
Your citizens will fill sand bags at this zone if a sandy floor or sandy wall is included.  This task is initiated manually at the glass furnace.,"如果包括沙地或沙墙,你的公民将在这个区域填充沙袋.  这个任务是在玻璃熔炉处手动启动的. "
Your citizens will collect clay at this zone if a clay floor or clay wall is included.  This task is initiated manually at the kiln.,"如果包括粘土地面或粘土墙,你的公民将在这个区域收集粘土.  这个任务是在窑洞里手动启动的. "
"This important zone is where your citizens will gather to socialize.  Crucially, the meeting area is where locations such as taverns, temples, hospitals, and the like are established.","这个重要区域是您的公民聚集社交的地方.  至关重要的是,会议区是建立酒馆, 寺庙, 医院等场所的地方. "
"Animals that are capable of being trained receive their training at this zone once they have been assigned a trainer from the Pets/Livestock menu.  Generally, a piece of meat is required.","能够接受训练的动物一旦从宠物/家畜菜单中被分配了训练师,就会在该区域接受训练. 一般来说,一块肉是必须的. "
Your citizens will sleep in bedrooms.  It should include a bed!  Try to enclose it with walls and/or doors.  Do not overlap with other rooms.,你的公民将睡在卧室里.  它应该包括一张床! 尝试用墙壁和/或门将其封闭.  (不能与其他房间重叠)
"Your citizens will eat at this zone.  When not assigned to a particular citizen, citizens without their own dining hall will eat here.  Tables and adjacent chairs should be included.","你的市民将在此处就餐.  若没有分配给特定市民,则未分配食堂的市民也会在这里用餐(需要包括桌子和相邻的椅子)"
"An office or study is required for certain official tasks, such as approving work orders and bookkeeping.  A chair or throne is required for these functions.","某些办公任务需要办公室或书房,例如批准工作订单和簿记. 这些功能需要椅子或宝座. "
Your archers can train in this zone if there is an archery target included.,"如果此处有靶子,则您的弓箭手可在此训练"
"Squads should be assigned to a barracks.  The squad can be set to train, sleep, and store equipment there.","小队需要被分配到一个军营.  小队可以设置为在那里训练, 睡觉和存放装备. "
Dormitories should include multiple beds and will not belong to a particular citizen.,"宿舍应包括多张床,不属于特定居民. "
Prisoners convicted in the Justice menu can be incarcerated at a chain or metal cage in the dungeon zone.,在司法菜单中被定罪的囚犯可以被监禁在地牢区的铁链或金属笼子里. 
"Deceased citizens and pets can be laid to rest in a tomb.  It should include a coffin, casket, or sarcophagus.","死去的公民和宠物可以被安放在坟墓里.  它应该包括一个棺材,匣子,或石棺. "
Establish burrows to organize work and living spaces in larger fortresses.,在较大的堡垒中建立洞穴来组织工作和生活空间. 
Finish establishing burrows.,完成建立洞穴的工作. 
Remove the burrow being painted permanently.  Also removes existing burrows!,永久性地清除被涂抹的洞穴.  同时也能清除现有的洞穴!
Repaint this burrow.,重新划定这个洞穴. 
Erase a portion of this burrow.,抹去这个洞穴的一部分. 
Remove this burrow permanently.,永久性地清除这个洞穴. 
Recenter on this burrow.,重定位至洞所. 
Toggle whether workshops can source materials from outside the burrow.,切换工场是否能从洞穴外获取材料. 
"Suspend this burrow.  Assigned citizens will not respect burrow restrictions while a burrow is suspended, but all tasks within the burrow will still function.","暂停这个洞穴.  当一个洞穴被暂停时,分配的公民将不尊重洞穴的限制,但洞穴内的所有任务仍将运作. "
Set hauling routes for minecarts.,设置矿车运输路线. 
Finish setting hauling routes.,完成运输路线设置. 
Add a stop to this route.  Minecarts will move between stops when conditions are satisfied.,"为这条路线添加一个停靠点. 当条件满足时,矿车将在站点之间移动. "
Assign a minecart to this route.  Only one vehicle can operate on each route.,为这条路线分配一个矿车. 每条路线只能运行一辆车. 
Name this route.,为这条路线命名. 
Remove this route.,删除此路线. 
Set the items desired by the minecart at this stop.  Items must be in a linked stockpile.,在这一站设置矿车所需的物品.  物品必须是在一个链接的库存中. 
Link a stockpile to this stop.  Citizens will haul items to and from the minecart as you specify.  Items for the minecart must be specified using the desired items button to the left.,将库存链接到此站点. 市民将按照您指定的方式将物品运进和运出矿车. 必须使用左侧的所需物品按钮指定矿车的物品. 
Set conditions for the minecart to move on to the next stop.,为矿车移动到下一站设置条件. 
Name this stop.,命名此站点. 
Remove this stop.,删除此站点. 
The assigned vehicle is at this stop.,指定车辆正在此站点停靠. 
The assigned vehicle is moving toward this stop.,指定的车辆正在驶向该停靠点. 
"The assigned vehicle wants to be at this stop but is not currently there.  A worker may be bringing it, or it may be stranded.","被分配的车辆想在这一站,但目前不在那里.  可能有工作人员带着它,也可能是它被搁置了. "
Open the citizen information menu.,打开市民信息菜单. 
Open the task information menu.,打开任务信息菜单. 
Open the place information menu.,打开地方信息菜单. 
Open the labor menu.,打开劳动菜单. 
Open the work orders menu.,打开劳动命令菜单. 
Open the nobles and administrators menu.,打开贵族和管理员菜单. 
Open the objects menu.,打开对象菜单. 
Open the squad sidebar.,打开小队侧边栏. 
Open the world screen.,打开世界界面. 
Open the justice menu.,打开司法菜单. 
"Toggle whether the stockpile allows plant and animal-based objects, regardless of other settings.","切换库存是否允许基于植物和动物的物体,而不考虑其他设置. "
"Toggle whether the stockpile allows non-plant-and-animal-based objects, regardless of other settings.","切换库存是否允许非植物和动物的物体,不考虑其他设置. "
Toggle whether goods banned by export mandates are listed.,切换是否列出出口授权禁止的货物. 
Sort by distance from the depot.,按与车厂的距离排序. 
Sort by value.,按价值排序. 
Leave menu and recenter the view on the time.,"离开菜单,将视图重新集中在时间上. "
Leave menu and open the item's sheet.,"离开菜单,打开项目的工作表. "
Toggle the forbidden status of the item.  Citizens will not use forbidden items or buildings.,切换项目的禁止状态.  公民不会使用违禁物品或建筑物. 
Toggle the dump status of the item.  Items are dumped in dumping zones.,切换物品的倾倒状态.  物品被倾倒在倾倒区. 
Toggle the melt status of the item.  Items are melted at any smelter.,切换物品的融化状态. 物品可在任何冶炼厂熔化. 
Toggle the visibility of the item.  Hidden items cannot be seen but citizens will still use them.,"切换物品的可见性.  隐藏的物品不能被看到,但市民仍会使用它们. "
Create a new work order.  Work orders are like workshop jobs but they are assigned to shops automatically and can be activated with various conditions.,"创建一个新的指令.  指令就像车间的工作,但它们被自动分配到车间,并可以用各种条件激活. "
This work order is active.,此工作命令已激活. 
This work order is waiting for its next scheduled check.,该工作订单正等待下一轮时间表检查. 
This work order is checking its conditions for activation.,该工作订单正检查其激活条件. 
This work order is ready to activate.,该工作订单已准备好被激活. 
Set the maximum number of workshops that can be used by the work order.,设置工作订单可被最多用于多少个工坊. 
This work order has been validated by the manager.,该工作订单已被经理人设置为生效. 
"This work order has not been validated by the manager.  A manager can be employed in the nobles and administrators menu, and they must have an assigned office where they will work to validate orders.","此工单尚未由经理验证. 可以在贵族和管理员菜单中启用经理,他们必须有一个指定的办公室,他们将在那里工作以验证订单. "
Change the number of times the task will be performed.,更改任务将被执行的次数. 
Change the work order priority.  Work orders at the top of the list will use workshops first.,更改工作订单的优先级. 工坊将首先完成位于列表顶端的工作订单. 
"Set the conditions for work order activation.  This can involve needed materials, the current stock of products, or the completion of other work orders.","设置工单激活的条件. 这可能涉及所需材料, 当前产品库存或其他工单的完成情况. "
Set the material used or other details of the task.,设置任务使用的材料或其他详细信息. 
Remove this work order.,移除该工作订单. 
Change the frequency that the conditions are checked.,更改检查条件的频率. 
Add a condition to the work order that checks the amount of some item.,为工作订单添加检查物品数量时设定的条件. 
Make the activation of the work order depend on the status of another work order.,使工单的激活取决于另一个工单的状态. 
Change the amount of the item being checked.,更改要检查的物品的数量. 
Change the inequality of the condition.,更改条件的变化范围. 
Change the type of the item being checked.,改变被检查项目的类型. 
Change the material of the item being checked.,改变被检查物品的材料. 
"Change the properties of the item being checked.  Many of these are obscure and rely on specific tasks, but certain properties like 'empty' can be used in many conditions.","改变被检查项目的属性.  其中许多是晦涩难懂的,依赖于特定的任务,但某些属性如'空'可以在许多条件下使用. "
Change whether the work order must be activated or completed to satisfy this condition.,改变指令是否必须被激活或完成以满足这个条件. 
Remove this condition.,删除此条件. 
Leave this menu and recenter on this creature.,离开该菜单并重定位至该生物. 
Leave this menu and view this creature's sheet.,离开该菜单并查看这个生物的列表. 
Leave this menu and recenter on this object.,离开该菜单并重定位至该物体. 
Leave this menu and view this object's sheet.,离开该菜单并查看这个物品的列表. 
Leave this menu and recenter on this place.,离开该菜单并重定位至该地区. 
Leave this menu and view this place's sheet or menu.,离开该菜单并查看该地区的列表或菜单. 
Leave this menu and recenter on the task's building.,"离开这个菜单,重新定位到任务的建筑上. "
"Set the details of this task, such as the material used.","设置该任务的细节,例如使用什么材料. "
View a detailed description of this activity.,检查该活动的描述详情. 
Toggle whether the task will be repeated indefinitely.,切换是否无限重复任务. 
Remove the current worker from the task.,将工人从当前任务中移除. 
Suspend this task.  This removes the worker.  The task can be unsuspended.,暂停此任务. 这将移除工人. 可以取消暂停任务. 
Cancel this task.,取消这个任务. 
Assign a trainer to this creature.,为该生物指派一个驯兽师. 
Assign this creature as a work animal for a specific citizen or resident.,将该生物指派给一个特定的居民或长期居住者作为工作动物. 
Toggle whether this creature will receive war training.  War animals have more lethal attacks.,切换该生物是否会接受战斗训练.  战斗动物有更多机会发起致命攻击. 
Toggle whether this creature will receive hunting training.  Hunting animals can move stealthfully during hunts.,切换该生物是否会接受狩猎训练.  狩猎动物在狩猎过程中可以隐蔽地移动. 
Toggle whether this creature is available as a pet for any interested citizen or resident.,切换这种生物是否可以作为宠物供任何感兴趣的公民或居民使用. 
This creature is ecstatic right now.,该生物现在欣喜若狂. 
This creature is happy right now.,该生物现在很快乐. 
This creature is pleased right now.,该生物现在很愉悦. 
This creature is content right now.,该生物现在很满足. 
This creature is displeased right now.,该生物现在很不悦. 
This creature is unhappy right now.,该生物现在很不快乐. 
This creature is miserable right now.,该生物现在很悲痛. 
"This worker is specialized and will only do tasks that match their workshop assignments, work details, and occupations.  Click to toggle.","这是个专职工人,只会做与车间分配, 工作细节和职业相匹配的任务. 单击可切换. "
This worker is not specialized and will do any free tasks that become available.  Click to toggle.,"这个工人无专职工作,可以做任何自由任务. 单击切换. "
This creature is a tavern keeper.,该生物是一名酒保. 
This creature is a performer.,该生物是一名演员. 
This creature is a scholar.,该生物是一名学者. 
This creature is a scribe.,该生物是一名抄写员. 
This creature is a mercenary.,该生物是一名雇佣兵. 
This creature is a monster slayer.,该生物是一名怪物猎手. 
This creature is a doctor.,该生物是一名医师. 
This creature is assigned to a specific workshop.,该生物被指派到一个特定的工坊. 
This creature is assigned to a work detail.,该生物被指派给一项工作细节. 
Toggle whether this creature will be slaughtered at a butcher's shop when the opportunity arises.,切换这种生物是否会在有机会的时候在肉店被宰杀. 
Toggle whether this creature will be gelded at a farmer's workshop when the opportunity arises.,切换这个生物在合适时是否会在农用工场被阉割. 
This type is not relevant to brewing.,该类型与酿造不相关. 
This type is restricted from brewing.,该类型只能用于酿造. 
This type is allowed to be brewed.,该类型可用于酿造. 
This type is not relevant to cooking.,该类型与烹饪不相关. 
This type is restricted from cooking.,该类型只能用于烹饪. 
This type is allowed to be cooked.,该类型可用于烹饪. 
Open the announcements screen.,打开通知界面
Rename this location.,为改地点重新命名. 
This option allows visitors from outside the fortress to enter this location.,此选项允许要塞外的游客进入该地点. 
This option allows long-term residents of the fortress to enter this location.,这个选项允许堡垒的长期居民进入这个地方. 
This option indicates that the location is only open to fortress citizens.,这个选项表示该地点只对要塞公民开放. 
This option indicates that the location is only open to members.,该选项表示该地点只对成员开放. 
Remove this worker from this occupation.,将该工人从该职业中移除. 
Set the camera to follow this item.,使视角跟踪此物品. 
This item is tagged by a task and will not be used by other tasks.,"这个物品已被某个任务选用,无法再用于其他任务. "
See this creature's combat history.,查看生物战斗记录. 
Customize this creature's nickname and profession nickname.,自定义这个生物的昵称和职业昵称. 
Set the camera to follow this creature.,使视角跟踪此生物. 
"Send this creature to a linked site, or expel this creature entirely.","把这个生物送到一个链接的站点,或者完全驱逐这个生物. "
This item is part of the assigned squad equipment.,这件物品是已分配小队装备的一部分
This item is a tool assigned by a work detail.,这个项目是由一个工作细节分配的工具. 
This item is a symbol of a noble or administrator.,这件物品是贵族或管理员的象征. 
This item is part of the creature's regular clothing.,这个项目是该生物常规服装的一部分. 
View this item's sheet.,查看该物品的列表. 
View this creature's sheet.,查看该生物的列表. 
View details about this knowledge.,查看有关该知识的细节. 
Recenter on this creature.,重定位至这个生物. 
Recenter on this item.,重定位至这个物品. 
Name this building.,命名建筑. 
Remove this building.,移除建筑. 
This task has been assigned and is active.,该任务已被指派且已激活. 
This task came from a work order.,该任务来自一项工作订单. 
This task is set to repeat indefinitely.,该任务已被设置为无限重复. 
Click to set this task to repeat indefinitely.,单击可将此任务设置为无限重复. 
This task is highest priority among all tasks everywhere.,这个任务是所有任务中优先级最高的. 
Click to set this task as highest priority among all tasks everywhere.,点击将此任务设置为各地所有任务中的最高优先级. 
Increase the priority of the task in this workshop.,提高该任务在这个工坊里的优先级. 
"Set details for this task, such as the material to be used.","为这项任务设置细节,如要使用的材料. "
This task has been suspended.,该任务被搁置了. 
Click to suspend the task.  Assigned workers are removed from suspended tasks.,点击暂停任务.  已分配的工人将从暂停的任务中移除. 
Create a new work order for this workshop.  Work orders are tasks that can repeat specified numbers of times and which can be given start conditions.  This is useful for automation.,"为这个工坊创建一个新工单,工单是可以重复指定次数的任务,并且可以给定启动条件. 这对自动化很有用. "
Recenter on the linked building.,重新定位在链接的建筑物上. 
Add stockpile links for this workshop.,为这个车间添加库存区链接. 
This item is a permanent part of the building.  Forbid and visibility tags set here affect the whole building.,这个项目是建筑物的一个永久的部分.  在这里设置的禁止和可见性标签会影响整个建筑. 
This item is being traded.,这个物品正在被交易
This is a small creature within the trap.,这是一个陷阱中的小生物. 
This item is bait.,这个物品是诱饵. 
This item has been loaded.,这个物品已加载. 
This item is resting within the building.,这个物品建筑内休息. 
"This item is a semi-permanent part of the building, like an item on display.","这个项目是建筑的一个半永久性的部分,就像所示项目. "
"Toggle the forbidden status of the item.  Citizens will not use forbidden items or buildings.  If a permanent building item is forbidden, citizens will not perform tasks there!","切换项目的禁止状态.  公民不会使用禁止物品或建筑物.  如果永久建筑项目被禁止,公民将不会在那里执行任务!"
